Time;Urban delivery, 3.5t;Regional delivery, 3.5t;Long haul, 3.5t;Urban delivery, 7.5t;Regional delivery, 8.5t;Long haul, 7.5t;Urban delivery, 18t;Regional delivery, 18t;Long haul, 18t;Urban delivery, 26t;Regional delivery, 26t;Long haul, 26t;Urban delivery, 40t;Regional delivery, 40t;Long haul, 40t;Urban delivery, 60t;Regional delivery, 60t;Long haul, 60t
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.8;1.8;1.8;1.8;1.8;1.7;1.8;1.8;1.7;1.4;1.4;0.9;1.8;1.8;1.8;1.8;1.8;1.6
4;5.4;5.4;5.4;5.4;5.3;4.9;5.3;5.3;4.9;4.3;4.3;2.9;5.4;5.4;5.4;5.4;5.4;5.0
5;9.0;9.0;9.0;9.0;8.5;8.3;8.5;8.5;8.3;7.6;7.6;5.3;7.8;7.8;7.4;7.8;7.8;6.0
6;11.4;12.6;12.6;11.4;9.8;10.3;9.8;9.8;10.3;10.0;10.9;8.1;9.2;9.2;8.1;9.1;9.1;6.9
7;12.0;15.6;15.5;12.0;9.6;9.7;9.6;9.6;9.7;10.5;12.3;11.4;11.0;11.8;10.0;9.9;9.8;8.7
8;12.8;16.3;15.6;12.8;11.4;9.6;10.8;11.4;9.6;11.0;12.1;12.5;12.0;14.9;12.8;10.9;11.4;9.4
9;15.3;15.8;14.4;15.3;15.0;11.6;13.6;15.0;11.6;13.1;13.6;11.1;11.9;16.3;13.7;12.5;13.3;11.1
10;16.6;17.7;15.9;16.8;18.6;14.8;17.2;18.6;14.8;16.2;16.7;11.6;13.3;18.0;14.5;13.3;14.4;12.6
11;15.8;21.3;19.5;16.3;21.4;18.3;20.6;21.4;18.3;19.4;19.5;13.9;16.6;20.6;17.3;15.1;16.5;12.9
12;17.2;24.9;23.1;17.9;22.0;21.5;22.0;22.0;21.5;22.2;21.7;16.3;18.8;21.6;18.5;17.3;17.8;14.3
13;20.8;27.4;26.7;21.5;21.8;22.6;21.7;21.8;22.6;23.3;22.0;18.6;19.9;22.8;18.7;18.3;18.4;16.1
14;24.4;27.5;27.8;25.1;23.2;21.6;23.1;23.2;21.6;22.8;21.4;20.7;22.1;25.2;20.2;19.8;19.9;16.3
15;27.6;26.9;26.3;28.2;25.6;21.8;26.0;25.6;21.8;23.6;21.9;22.4;24.7;26.1;22.4;21.5;21.4;16.6
16;28.5;28.8;26.9;29.3;28.0;23.7;28.9;28.0;23.7;25.6;23.2;22.3;25.7;26.0;24.6;22.1;21.6;18.2
17;27.8;32.1;30.0;28.9;30.1;25.9;31.7;30.1;25.9;27.5;24.5;21.1;26.6;27.1;25.3;23.3;21.9;19.5
18;29.4;35.3;33.3;30.5;32.0;28.0;34.2;32.0;28.0;29.4;25.7;21.1;28.7;28.6;25.1;25.0;23.1;19.5
19;32.7;38.4;36.4;33.8;33.6;30.1;36.5;33.6;30.1;31.1;26.8;22.2;31.0;29.9;26.1;25.7;24.3;19.5
20;35.9;41.2;39.4;36.9;35.0;32.0;37.6;35.0;32.0;32.8;27.7;23.4;32.8;31.2;27.6;25.9;25.3;20.5
21;38.9;43.8;42.2;39.8;36.4;33.8;37.3;36.4;33.8;34.3;28.6;24.6;33.3;32.5;29.2;27.1;25.7;21.7
22;41.7;45.0;44.9;42.6;37.8;35.5;37.6;37.8;35.5;35.9;29.5;25.7;34.0;33.2;30.8;28.5;25.0;22.9
23;44.4;45.0;45.2;45.3;37.8;37.0;39.1;37.8;37.0;37.4;30.4;26.9;35.6;32.9;32.3;30.0;24.6;24.1
24;45.7;45.0;43.5;46.6;36.5;37.7;41.1;36.5;37.7;38.2;31.4;28.1;37.5;33.0;33.1;31.4;25.0;25.2
25;45.1;45.0;43.9;46.4;36.4;37.1;43.0;36.4;37.1;38.2;32.4;29.2;39.4;34.0;32.8;32.9;25.6;25.9
26;45.6;45.0;46.5;47.0;37.4;36.3;44.9;37.4;36.3;38.3;33.4;30.3;41.3;35.1;32.9;33.7;26.3;25.5
27;47.7;45.0;49.0;49.0;38.6;36.7;46.8;38.6;36.7;39.2;34.3;31.3;42.7;36.3;33.8;34.1;27.0;25.3
28;50.1;45.0;51.3;51.4;39.7;37.8;48.5;39.7;37.8;40.5;35.3;32.3;43.2;37.4;34.9;34.9;27.9;25.9
29;52.3;45.0;53.5;53.6;40.8;38.9;50.2;40.8;38.9;41.8;36.1;33.2;43.8;38.5;36.0;36.1;28.7;26.6
30;54.5;45.0;55.6;55.7;41.8;40.1;51.7;41.8;40.1;43.0;36.9;34.2;45.1;39.5;37.2;37.4;29.6;27.3
31;56.6;45.0;57.6;57.7;42.8;41.3;53.2;42.8;41.3;44.2;37.6;35.0;46.5;40.5;38.3;38.6;30.4;28.1
32;58.5;45.0;59.3;59.6;43.6;42.5;54.7;43.6;42.5;45.3;38.2;35.9;47.9;41.3;39.4;39.8;31.2;28.9
33;60.4;45.0;60.0;61.4;44.4;43.7;56.1;44.4;43.7;46.5;38.7;36.7;49.3;42.0;40.5;40.9;31.9;29.7
34;62.2;45.0;60.0;63.2;44.9;45.0;57.4;44.9;45.0;47.6;38.2;37.5;50.7;42.7;41.6;42.0;32.6;30.5
35;64.0;43.2;60.0;65.0;45.0;46.3;58.7;45.0;46.3;48.6;36.8;38.2;52.0;43.3;42.7;43.1;33.2;31.3
36;65.8;39.6;60.0;66.5;45.0;47.7;59.3;45.0;47.7;49.7;36.0;38.3;53.3;43.8;43.4;43.6;33.7;32.0
37;67.3;37.3;60.0;66.9;44.1;49.2;59.0;44.1;49.2;50.7;36.0;37.4;54.6;43.3;43.4;43.8;34.1;32.7
38;68.0;36.9;60.0;66.2;41.4;50.7;59.5;41.4;50.7;51.8;36.0;37.0;55.9;42.3;43.7;44.3;34.5;33.5
39;67.2;36.9;60.0;65.3;38.3;52.2;60.8;38.3;52.2;52.8;36.1;37.5;56.5;41.3;44.9;45.1;34.8;33.8
40;65.5;36.9;60.0;64.3;36.9;53.8;62.2;36.9;53.8;54.0;36.2;38.3;56.9;39.0;46.2;45.9;35.1;33.5
41;63.9;36.9;60.0;63.4;36.9;55.4;63.3;36.9;55.4;55.3;36.2;39.3;58.0;37.2;47.6;46.8;35.4;33.4
42;63.0;36.9;60.0;63.0;36.9;57.1;63.3;36.9;57.1;56.5;36.3;40.3;59.3;36.9;49.1;47.8;35.6;34.0
43;63.0;36.9;60.0;63.0;36.9;58.7;63.0;36.9;58.7;57.7;36.4;41.5;60.7;36.9;50.6;48.8;35.7;34.7
44;63.0;36.9;60.0;63.0;36.9;59.5;63.0;36.9;59.5;58.8;36.5;42.7;61.9;36.9;52.2;50.0;35.5;35.6
45;63.0;36.9;60.0;63.0;36.9;59.5;63.0;36.9;59.5;59.2;36.7;44.0;62.6;36.9;53.9;51.1;34.6;36.5
46;63.0;36.9;60.0;63.0;36.9;59.6;63.0;36.9;59.6;59.0;36.9;45.3;62.7;36.8;55.5;52.3;33.9;37.6
47;63.0;36.9;60.0;63.0;36.9;59.6;63.0;36.9;59.6;58.9;36.9;46.7;62.8;36.3;56.4;53.5;33.9;38.6
48;63.0;35.7;60.0;63.0;36.9;59.5;63.0;36.9;59.5;59.3;36.9;48.1;62.9;36.0;56.6;54.5;34.0;39.8
49;63.0;32.6;60.0;63.0;36.9;59.5;63.0;36.9;59.5;60.0;36.9;49.6;63.0;36.3;56.6;55.4;34.1;41.0
50;63.0;29.0;60.0;63.0;36.7;59.4;63.0;36.7;59.4;60.8;36.9;51.1;63.0;36.7;56.7;56.2;34.4;42.2
51;63.0;25.4;60.0;63.0;34.7;59.4;63.0;34.7;59.4;61.6;36.9;52.7;63.0;36.9;56.8;56.6;34.7;43.2
52;63.0;21.8;60.0;63.0;31.1;59.3;63.0;31.1;59.3;62.5;36.9;54.3;63.0;35.3;56.9;56.6;35.2;43.7
53;63.0;18.2;60.0;63.0;27.5;59.2;63.0;27.5;59.2;62.9;36.9;55.9;63.0;32.0;57.0;56.9;35.8;44.4
54;63.0;15.2;60.0;63.0;23.9;59.2;63.0;23.9;59.2;63.0;36.9;57.4;63.0;28.4;57.1;57.6;36.4;45.7
55;63.0;14.0;60.0;63.0;20.3;59.0;63.0;20.3;59.0;63.0;35.2;58.7;63.0;24.8;57.2;58.3;36.4;47.1
56;63.0;14.2;60.0;63.0;16.7;58.9;63.0;16.7;58.9;63.0;31.6;59.4;63.0;21.2;57.2;59.0;36.1;48.5
57;63.0;14.3;60.0;63.0;14.5;58.6;63.0;14.5;58.6;63.0;28.0;59.6;63.0;17.6;57.3;59.8;36.5;50.1
58;63.0;14.3;60.0;63.0;14.2;58.4;63.0;14.2;58.4;63.0;24.4;59.8;63.0;15.1;57.3;60.5;36.7;51.0
59;63.0;14.3;60.0;63.0;14.3;58.1;63.0;14.3;58.1;63.0;20.8;59.8;62.8;14.3;57.2;61.2;35.5;51.2
60;63.0;14.3;60.0;63.0;14.3;57.7;63.0;14.3;57.7;63.0;17.3;59.9;62.5;14.3;57.1;61.7;32.5;51.5
61;63.0;13.3;59.4;63.0;14.3;57.4;63.0;14.3;57.4;63.0;14.8;59.9;62.4;14.3;57.0;62.2;28.9;51.8
62;63.0;10.6;57.6;63.0;14.3;56.9;63.0;14.3;56.9;63.0;14.2;59.9;62.6;14.3;56.9;62.6;25.3;52.1
63;62.4;7.0;55.0;62.1;14.3;56.5;62.8;14.3;56.5;63.0;14.3;59.8;62.9;14.3;56.6;62.9;21.7;52.3
64;60.9;3.6;52.0;60.3;12.5;56.0;62.0;12.5;56.0;63.0;14.3;59.7;62.8;14.3;56.4;63.0;18.1;52.6
65;59.0;0.9;48.5;58.3;8.9;55.5;60.6;8.9;55.5;62.9;14.3;59.5;62.0;13.1;56.1;63.0;15.3;52.9
66;56.7;0.0;45.0;55.9;5.4;55.0;58.8;5.4;55.0;62.2;14.3;59.3;61.0;10.2;55.8;63.0;14.3;53.1
67;54.0;0.0;41.5;53.0;2.0;54.5;56.4;2.0;54.5;61.1;14.3;59.0;60.0;6.6;55.4;63.0;14.3;53.3
68;50.8;0.0;38.0;49.9;0.1;54.0;53.6;0.1;54.0;60.1;12.8;58.7;59.0;3.2;55.0;63.0;14.3;53.5
69;48.5;0.0;34.5;48.1;0.0;53.5;50.5;0.0;53.5;59.1;9.4;58.4;57.7;0.7;54.6;62.6;14.3;53.6
70;47.9;0.0;30.9;47.9;0.0;51.5;48.4;0.0;51.5;57.6;5.9;58.0;55.5;0.0;54.2;61.8;14.3;53.7
71;47.9;0.0;27.4;47.9;0.0;48.0;47.9;0.0;48.0;55.2;2.5;57.6;52.5;0.0;53.9;60.8;14.3;53.8
72;47.9;0.0;23.9;47.9;0.0;44.5;47.9;0.0;44.5;52.1;0.4;57.3;49.5;0.0;53.4;59.8;13.4;53.8
73;47.9;0.0;20.4;47.9;0.0;40.9;47.9;0.0;40.9;49.2;0.0;56.9;48.0;0.0;51.5;58.9;10.6;53.7
74;47.9;0.0;16.9;47.9;0.0;37.4;47.9;0.0;37.4;47.7;0.0;56.1;47.4;0.0;48.0;58.1;7.1;53.6
75;47.9;0.0;13.3;47.9;0.0;33.8;47.9;0.0;33.8;47.0;0.0;54.0;47.1;0.0;44.5;56.6;3.6;53.5
76;47.9;0.0;9.8;47.9;0.0;30.3;47.9;0.0;30.3;46.4;0.0;50.8;47.4;0.0;41.1;54.0;1.0;53.4
77;47.9;0.0;6.4;47.9;0.0;26.8;47.9;0.0;26.8;46.7;0.0;47.4;47.8;0.0;37.6;50.7;0.0;53.2
78;47.9;0.0;3.0;47.9;0.0;23.2;47.9;0.0;23.2;47.4;0.0;44.0;47.9;0.0;34.1;48.4;0.0;53.0
79;47.9;0.0;0.7;47.9;0.0;19.7;47.9;0.0;19.7;47.8;0.0;40.5;47.9;0.0;30.6;47.8;0.0;52.7
80;47.9;0.0;0.0;47.9;0.0;16.1;47.9;0.0;16.1;47.9;0.0;37.1;47.9;0.0;27.1;47.9;0.0;52.5
81;47.9;0.0;0.0;47.9;0.0;12.6;47.9;0.0;12.6;47.9;0.0;33.7;47.9;0.0;23.7;47.9;0.0;52.3
82;47.9;0.0;0.0;47.9;0.0;9.1;47.9;0.0;9.1;47.9;0.0;30.2;47.9;0.0;20.2;47.9;0.0;52.1
83;47.9;0.0;0.0;47.9;0.0;5.6;47.9;0.0;5.6;47.9;0.0;26.8;47.9;0.0;16.7;47.9;0.0;51.7
84;47.9;0.0;0.0;47.9;0.0;2.2;47.9;0.0;2.2;47.9;0.0;23.4;47.9;0.0;13.2;47.9;0.0;49.5
85;47.9;0.0;0.0;47.9;0.0;0.3;47.9;0.0;0.3;47.9;0.0;19.9;47.9;0.0;9.7;47.9;0.0;46.0
86;47.9;0.0;0.0;47.9;0.0;0.0;47.9;0.0;0.0;47.9;0.0;16.5;47.9;0.0;6.3;47.8;0.0;42.4
87;47.9;0.0;0.0;47.3;0.0;0.0;47.9;0.0;0.0;47.5;0.0;13.1;47.9;0.0;3.0;47.7;0.0;38.8
88;46.0;0.0;0.0;44.9;0.0;0.0;47.9;0.0;0.0;46.7;0.0;9.6;47.9;0.0;0.7;47.6;0.0;35.2
89;42.4;0.0;0.0;41.3;0.0;0.0;46.3;0.0;0.0;46.2;0.0;6.3;47.9;0.0;0.0;47.5;0.0;31.7
90;38.8;0.8;0.0;37.7;0.0;0.0;42.8;0.0;0.0;46.3;0.0;3.0;47.9;0.0;0.0;47.5;0.0;28.1
91;35.2;3.4;0.0;34.1;0.0;0.0;39.2;0.0;0.0;46.6;0.0;0.7;47.7;0.0;0.0;47.6;0.0;24.5
92;31.6;7.0;0.0;30.5;0.0;0.0;35.6;0.0;0.0;46.8;0.0;0.0;45.8;0.0;0.0;47.7;0.0;20.9
93;28.1;10.6;0.0;27.3;1.7;0.0;32.0;1.7;0.0;45.4;0.0;0.0;42.2;0.0;0.0;47.9;0.0;17.4
94;26.1;14.2;0.0;25.9;5.0;0.0;28.4;5.0;0.0;42.0;0.0;0.0;38.6;1.0;0.0;47.9;0.0;13.8
95;25.9;16.2;0.0;25.9;8.3;0.0;26.3;8.3;0.0;38.4;0.0;0.0;35.0;3.8;0.0;47.9;0.0;10.2
96;25.9;15.9;0.0;25.9;9.8;0.0;25.9;9.8;0.0;34.8;0.0;0.0;31.4;7.1;0.0;47.9;0.0;6.7
97;25.9;16.5;0.0;25.9;9.3;0.0;25.9;9.3;0.0;31.2;1.0;0.0;27.8;8.6;0.0;46.8;0.0;3.2
98;25.9;19.4;0.0;25.9;10.9;0.0;25.9;10.9;0.0;27.9;3.6;0.0;26.0;10.4;0.0;44.0;0.0;0.8
99;25.9;23.0;0.0;25.9;14.4;0.0;25.9;14.4;0.0;26.1;6.7;0.0;25.9;13.9;0.0;40.4;0.0;0.0
100;25.9;26.5;0.0;25.9;18.0;0.0;25.9;18.0;0.0;25.9;10.2;0.0;25.9;15.8;0.0;36.8;0.0;0.0
101;25.9;28.2;0.0;25.9;21.1;0.0;25.9;21.1;0.0;25.9;12.0;0.0;25.9;17.1;0.0;33.2;0.8;0.0
102;25.9;27.6;0.0;25.9;22.1;0.0;25.9;22.1;0.0;25.9;11.8;0.0;25.9;20.0;0.0;29.6;3.4;0.0
103;25.9;28.5;0.0;25.9;22.0;0.0;25.9;22.0;0.0;25.9;12.9;0.0;25.9;21.7;0.0;26.8;6.9;0.0
104;25.9;31.5;0.0;25.9;23.7;0.0;25.9;23.7;0.0;25.9;15.8;0.0;25.9;22.7;0.0;25.9;8.5;0.0
105;25.9;34.7;0.0;25.9;26.6;0.0;25.9;26.6;0.0;25.9;18.8;0.0;25.9;25.1;0.0;25.9;8.9;0.0
106;25.9;36.6;0.0;25.9;29.5;0.0;25.9;29.5;0.0;25.9;21.5;0.0;25.9;27.2;0.0;25.9;10.2;0.0
107;25.9;37.0;0.0;25.9;32.3;0.0;25.9;32.3;0.0;25.9;22.5;0.0;25.9;28.0;0.0;25.9;12.3;0.0
108;25.9;37.0;0.0;25.9;34.9;0.0;25.9;34.9;0.0;25.9;22.1;0.0;25.9;29.3;0.0;25.9;13.7;0.0
109;25.9;37.0;0.0;25.9;36.1;0.0;25.9;36.1;0.0;25.9;22.8;0.0;25.9;31.6;0.0;25.9;15.0;0.0
110;25.9;37.0;0.0;25.4;35.9;0.0;25.9;35.9;0.0;25.9;24.7;0.0;25.9;33.3;0.0;25.9;17.3;0.0
111;24.2;37.0;0.0;23.1;36.3;0.0;25.9;36.3;0.0;25.9;26.7;0.0;25.9;34.0;0.0;25.9;18.3;0.0
112;20.9;37.0;0.0;20.2;37.0;0.0;24.4;37.0;0.0;25.9;28.7;0.0;25.9;35.2;0.0;25.9;19.4;0.0
113;19.2;37.0;0.0;19.0;37.0;0.0;21.2;37.0;0.0;25.9;30.7;0.0;25.9;36.6;0.0;25.9;21.2;0.0
114;19.0;37.0;0.0;19.0;37.0;0.0;19.3;37.0;0.0;25.9;32.6;0.0;25.1;37.0;0.0;25.9;22.0;0.0
115;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;25.7;34.4;0.0;22.4;37.0;0.0;25.9;22.8;0.0
116;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;23.8;36.1;0.0;19.8;37.0;0.0;25.9;24.7;0.0
117;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;20.6;36.8;0.0;19.0;37.0;0.0;25.9;25.7;0.0
118;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.1;36.8;0.0;19.0;37.0;0.0;25.9;26.1;0.0
119;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;36.9;0.0;19.0;37.0;0.0;25.9;27.3;0.0
120;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;24.2;28.9;0.0
121;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;20.9;30.6;0.0
122;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.2;32.4;0.0
123;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;33.8;0.0
124;19.0;37.4;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;34.5;0.0
125;19.0;39.2;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;35.5;0.0
126;19.0;42.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;36.6;0.0
127;19.0;43.7;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0
128;19.0;44.0;0.0;19.0;38.0;0.0;19.0;38.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0;19.0;37.0;0.0
129;19.0;44.0;0.0;19.0;40.5;0.0;19.0;40.5;0.0;19.0;37.0;0.0;19.0;37.3;0.0;19.0;37.0;0.0
130;19.0;44.0;0.0;19.0;42.9;0.0;19.0;42.9;0.0;19.0;37.0;0.0;19.0;38.0;0.0;19.0;37.0;0.0
131;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;37.0;0.0;19.0;39.4;0.0;19.0;37.0;0.0
132;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;37.0;0.0;19.0;41.7;0.0;19.0;37.0;0.0
133;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;37.5;0.0;19.0;43.4;0.0;19.0;37.0;0.0
134;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;38.5;0.0;19.0;44.0;0.0;19.0;37.0;0.0
135;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;39.3;0.0;19.0;44.0;0.0;19.0;37.0;0.0
136;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;40.4;0.0;19.0;44.0;0.0;19.0;37.0;0.0
137;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;42.4;0.0;19.0;44.0;0.0;19.0;37.0;0.0
138;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;43.7;0.0;19.0;44.0;0.0;19.0;37.0;0.0
139;19.0;42.6;1.1;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;37.3;0.0
140;19.0;39.4;4.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;38.1;0.0
141;19.0;35.8;7.6;18.8;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;39.4;0.0
142;17.5;32.2;11.2;16.7;43.4;0.0;19.0;43.4;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;41.2;0.0
143;14.3;30.2;14.8;13.1;40.9;0.0;17.7;40.9;0.0;19.0;44.0;0.0;19.0;44.0;0.0;19.0;43.0;0.0
144;10.7;30.0;16.5;9.5;37.3;0.0;14.6;37.3;0.0;19.0;44.0;0.0;19.0;42.8;0.0;19.0;43.9;0.0
145;7.1;30.0;16.1;6.0;33.7;1.5;11.0;33.7;1.5;19.0;44.0;0.0;18.4;39.7;0.0;19.0;44.0;0.0
146;3.6;31.4;17.2;2.6;31.0;4.7;7.5;31.0;4.7;19.0;44.0;0.0;16.0;36.1;0.0;19.0;44.0;0.0
147;1.0;34.3;20.5;0.4;30.0;8.2;4.0;30.0;8.2;17.3;44.0;0.0;12.4;32.5;0.0;19.0;44.0;0.0
148;0.0;37.4;24.1;0.0;30.0;9.9;1.1;30.0;9.9;13.8;42.4;0.0;8.8;30.4;1.1;19.0;44.0;0.0
149;0.0;40.3;27.7;0.0;30.2;9.7;0.0;30.2;9.7;10.2;39.1;0.0;5.3;30.0;3.9;19.0;44.0;0.0
150;0.0;43.1;29.1;0.0;31.5;11.3;0.0;31.5;11.3;6.7;35.5;0.0;1.9;30.0;7.2;19.0;44.0;0.0
151;0.0;44.9;28.4;0.0;32.6;14.9;0.0;32.6;14.9;3.2;31.9;0.8;0.1;30.3;8.8;17.5;44.0;0.0
152;0.0;44.7;29.8;0.0;32.6;18.5;0.0;32.6;18.5;0.7;30.1;3.3;0.0;31.0;10.7;14.3;44.0;0.0
153;0.0;44.2;33.1;0.0;33.7;21.7;0.0;33.7;21.7;0.0;30.0;6.5;0.0;32.4;14.2;10.7;44.0;0.0
154;0.0;45.6;36.2;0.0;36.1;23.0;0.0;36.1;23.0;0.0;30.0;10.0;0.0;34.5;16.1;7.1;42.7;0.0
155;0.0;48.2;39.2;0.0;37.7;23.2;0.0;37.7;23.2;0.0;30.7;12.2;0.0;36.5;17.7;3.6;39.5;0.0
156;0.0;50.5;42.1;0.0;37.7;25.0;0.0;37.7;25.0;0.0;31.3;12.5;0.0;38.4;20.8;1.0;35.9;0.0
157;0.0;51.8;44.7;0.0;37.4;28.3;0.0;37.4;28.3;0.0;31.4;13.6;0.0;40.0;22.6;0.0;32.3;0.0
158;0.0;51.9;46.3;0.0;38.2;31.4;0.0;38.2;31.4;0.0;32.5;16.5;0.0;41.5;23.9;0.0;30.3;1.0
159;0.0;51.9;46.1;0.0;39.7;34.3;0.0;39.7;34.3;0.0;34.3;19.7;0.0;42.9;26.6;0.0;30.0;3.8
160;0.0;51.9;46.3;0.0;41.3;36.9;0.0;41.3;36.9;0.0;35.9;22.1;0.0;44.2;28.8;0.0;30.0;7.1
161;0.0;51.9;48.1;0.0;42.9;38.3;0.0;42.9;38.3;0.0;37.3;22.8;0.0;45.5;29.9;0.0;30.3;8.8
162;0.0;51.9;50.5;0.0;44.6;38.3;0.0;44.6;38.3;0.0;38.3;23.1;0.0;46.7;31.5;0.0;30.9;9.4
163;0.0;51.9;52.8;0.0;46.1;39.1;0.0;46.1;39.1;0.0;38.2;24.6;0.0;47.0;33.9;0.0;31.9;10.9
164;0.0;51.9;54.9;0.0;47.7;41.0;0.0;47.7;41.0;0.0;37.5;26.8;0.0;47.1;35.0;0.0;33.3;12.4
165;0.0;51.9;56.9;0.0;49.2;43.1;0.0;49.2;43.1;0.0;37.6;29.1;0.0;48.1;35.8;0.0;34.7;13.7
166;0.0;51.9;58.8;0.0;50.6;45.1;0.0;50.6;45.1;0.0;38.5;31.3;0.0;49.3;37.7;0.0;35.9;16.2
167;0.0;51.9;59.8;0.0;51.3;47.0;0.0;51.3;47.0;0.0;39.5;33.3;0.0;50.4;39.8;0.0;36.9;18.0
168;0.0;51.9;60.0;0.0;50.8;48.8;0.0;50.8;48.8;0.0;40.5;35.3;0.0;51.3;41.8;0.0;37.8;19.1
169;0.0;51.9;60.0;0.0;50.0;50.4;0.0;50.0;50.4;0.0;41.6;37.1;0.0;51.8;43.1;0.0;38.6;21.2
170;0.0;51.9;60.0;0.0;49.8;51.9;0.0;49.8;51.9;0.0;42.6;38.3;0.0;51.9;43.6;0.0;39.4;22.6
171;0.0;51.9;60.0;0.0;50.0;53.3;0.0;50.0;53.3;0.0;43.6;38.6;0.0;51.9;44.5;0.0;40.2;23.5
172;0.8;51.9;60.0;1.4;50.3;54.5;0.0;50.3;54.5;0.0;44.5;38.8;0.0;51.9;45.8;0.0;41.0;25.3
173;3.4;51.9;59.8;4.5;50.5;55.5;0.6;50.5;55.5;0.0;45.4;39.7;0.0;51.5;47.2;0.0;41.9;27.0
174;7.0;51.9;58.6;8.1;50.8;56.3;2.9;50.8;56.3;0.0;46.1;41.1;0.0;50.7;48.5;0.0;42.7;27.7
175;10.6;51.9;56.4;11.7;51.1;56.9;6.4;51.1;56.9;0.0;46.7;42.4;0.0;50.2;49.7;0.0;43.5;28.8
176;13.7;51.9;55.1;14.3;51.5;57.3;9.0;51.5;57.3;0.0;47.1;43.6;1.7;50.3;50.8;0.0;43.7;30.5
177;15.0;51.9;55.0;15.0;51.8;57.4;9.6;51.8;57.4;0.8;47.4;44.8;5.2;50.5;51.7;0.0;43.6;32.3
178;15.0;51.9;55.0;15.0;51.9;57.4;10.1;51.9;57.4;3.0;47.6;45.8;7.7;50.9;52.4;0.0;44.0;33.6
179;15.0;51.9;55.0;15.0;51.9;57.3;12.5;51.9;57.3;6.1;47.8;46.8;9.1;51.3;53.0;0.0;44.5;34.2
180;15.0;51.9;55.0;15.0;51.9;57.0;14.6;51.9;57.0;9.5;47.9;47.7;11.7;51.7;53.3;0.0;44.9;35.0
181;15.0;51.9;55.0;15.0;51.9;56.7;15.0;51.9;56.7;11.7;48.0;48.3;14.2;51.9;53.4;0.8;45.2;36.4
182;15.0;51.9;55.0;15.0;51.9;56.3;15.0;51.9;56.3;12.0;48.3;48.9;14.8;51.9;53.4;3.4;45.4;37.8
183;15.0;51.9;55.0;15.0;51.9;55.4;15.0;51.9;55.4;12.8;48.6;49.2;14.9;51.9;53.2;6.9;45.4;39.1
184;15.0;51.9;55.1;15.0;51.9;54.5;15.0;51.9;54.5;14.4;48.9;49.4;15.0;51.9;52.9;8.5;45.4;40.4
185;15.0;51.9;56.2;15.0;51.9;53.9;15.0;51.9;53.9;15.0;49.4;49.4;15.0;51.9;52.6;9.0;45.3;41.5
186;15.0;51.9;58.1;15.0;51.9;53.4;15.0;51.9;53.4;15.0;49.8;49.2;15.0;51.9;52.2;10.3;45.2;42.6
